,video_id,fps,start_sec,stop_sec,narration,step_id
129,ethan-4pinwheels,15,916,918,scoop spreads,4
130,ethan-4pinwheels,15,918,927,apply spreads,4
131,ethan-4pinwheels,15,927,930,scoop spreads,4
132,ethan-4pinwheels,15,930,953,apply spreads,4
133,ethan-4pinwheels,15,955,958,wash knife cloth,5
134,ethan-4pinwheels,15,960,962,put knife,5
135,ethan-4pinwheels,15,962,970,wrap wrap,6
136,ethan-4pinwheels,15,971,973,take wire,7
137,ethan-4pinwheels,15,975,976,insert wire,7
138,ethan-4pinwheels,15,977,979,take wire,7
139,ethan-4pinwheels,15,979,981,insert wire,7
140,ethan-4pinwheels,15,981,983,take wire,7
141,ethan-4pinwheels,15,985,989,insert wire,7
142,ethan-4pinwheels,15,989,990,take wire,7
143,ethan-4pinwheels,15,990,993,insert wire,7
144,ethan-4pinwheels,15,996,997,take knife,8
145,ethan-4pinwheels,15,997,1006,cut wrap knife,8
146,ethan-4pinwheels,15,1011,1012,take wire,9
147,ethan-4pinwheels,15,1015,1065,cut wrap wire,10
148,ethan-4pinwheels,15,1073,1079,put wrap plate,12
149,ethan-4pinwheels,15,1087,1090,put wrap plate,12
150,ethan-4pinwheels,15,1134,1136,put tortilla,1
151,ethan-4pinwheels,15,1137,1139,scoop spreads,2
152,ethan-4pinwheels,15,1140,1142,take jar,2
153,ethan-4pinwheels,15,1143,1145,apply spreads,2
154,ethan-4pinwheels,15,1146,1149,scoop spreads,2
155,ethan-4pinwheels,15,1149,1182,apply spreads,2
156,ethan-4pinwheels,15,1184,1186,take cloth,3
157,ethan-4pinwheels,15,1189,1191,wash knife cloth,3
158,ethan-4pinwheels,15,1193,1195,put knife,3
159,ethan-4pinwheels,15,1196,1197,take jar,4
160,ethan-4pinwheels,15,1198,1200,scoop spreads,4
161,ethan-4pinwheels,15,1202,1204,apply spreads,4
162,ethan-4pinwheels,15,1204,1205,take jar,4
163,ethan-4pinwheels,15,1205,1206,scoop spreads,4
164,ethan-4pinwheels,15,1206,1211,apply spreads,4
165,ethan-4pinwheels,15,1211,1212,take jar,4
166,ethan-4pinwheels,15,1212,1213,scoop spreads,4
167,ethan-4pinwheels,15,1213,1237,apply spreads,4
168,ethan-4pinwheels,15,1241,1242,wash knife cloth,5
169,ethan-4pinwheels,15,1243,1244,put knife,5
170,ethan-4pinwheels,15,1250,1258,wrap wrap,6
171,ethan-4pinwheels,15,1259,1262,take wire,7
172,ethan-4pinwheels,15,1264,1266,take wire,7
173,ethan-4pinwheels,15,1266,1268,take wire,7
174,ethan-4pinwheels,15,1270,1288,insert wire,7
175,ethan-4pinwheels,15,1288,1290,take knife,8
176,ethan-4pinwheels,15,1292,1298,cut wrap knife,8
177,ethan-4pinwheels,15,1304,1305,take wire,9
178,ethan-4pinwheels,15,1310,1386,cut wrap wire,10
179,ethan-4pinwheels,15,1394,1402,put wrap plate,12
180,ethan-4pinwheels,15,2179,2180,open bag,1
181,ethan-4pinwheels,15,2182,2183,put tortilla,1
182,ethan-4pinwheels,15,2184,2186,take knife,2
183,ethan-4pinwheels,15,2186,2187,take jar,2
184,ethan-4pinwheels,15,2189,2191,scoop spreads,2
185,ethan-4pinwheels,15,2192,2206,apply spreads,2
186,ethan-4pinwheels,15,2207,2208,scoop spreads,2
187,ethan-4pinwheels,15,2209,2236,apply spreads,2
188,ethan-4pinwheels,15,2237,2238,take cloth,3
189,ethan-4pinwheels,15,2240,2242,wash knife cloth,3
190,ethan-4pinwheels,15,2245,2247,put knife,3
191,ethan-4pinwheels,15,2247,2249,take jar,4
192,ethan-4pinwheels,15,2249,2253,scoop spreads,4
193,ethan-4pinwheels,15,2253,2257,apply spreads,4
194,ethan-4pinwheels,15,2257,2259,scoop spreads,4
195,ethan-4pinwheels,15,2259,2261,apply spreads,4
196,ethan-4pinwheels,15,2262,2263,scoop spreads,4
197,ethan-4pinwheels,15,2263,2267,apply spreads,4
198,ethan-4pinwheels,15,2267,2269,scoop spreads,4
199,ethan-4pinwheels,15,2269,2280,apply spreads,4
200,ethan-4pinwheels,15,2280,2282,scoop spreads,4
201,ethan-4pinwheels,15,2282,2299,apply spreads,4
202,ethan-4pinwheels,15,2300,2302,take cloth,5
203,ethan-4pinwheels,15,2302,2306,wash knife cloth,5
204,ethan-4pinwheels,15,2309,2310,put knife,5
205,ethan-4pinwheels,15,2312,2324,wrap wrap,6
206,ethan-4pinwheels,15,2329,2331,take wire,7
207,ethan-4pinwheels,15,2333,2335,take wire,7
208,ethan-4pinwheels,15,2340,2348,insert wire,7
209,ethan-4pinwheels,15,2348,2354,take wire,7
210,ethan-4pinwheels,15,2354,2359,insert wire,7
211,ethan-4pinwheels,15,2362,2364,take knife,8
212,ethan-4pinwheels,15,2364,2375,cut wrap knife,8
213,ethan-4pinwheels,15,2383,2386,take wire,9
214,ethan-4pinwheels,15,2390,2440,cut wrap wire,10
215,ethan-4pinwheels,15,2446,2456,put wrap plate,12
