recipe,video_name,time,Notes,step,bowl,microwave,tortilla,plate,knife,mug,kettle,measuring_cup,dripper,filter,scale,grinder,Object exhaustive
pinwheels,pinwheels_2023.03.30-16.38.48,4:48,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,0:00,,1,,,in-package,empty,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,0:08,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,0:17,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,0:28,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,0:42,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,1:10,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,1:24,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,1:35,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,1:41,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,1:55,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:07,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:09,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:18,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:28,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:34,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:48,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:55,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,2:58,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:08,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:17,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:28,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:31,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:34,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:43,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,3:45,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,4:12,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,4:19,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,4:20,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.30-16.50.36,4:25,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:00,,1,,,in-package,empty,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:06,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:12,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:25,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:32,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,0:49,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:06,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:15,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:21,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:40,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:49,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:50,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,1:58,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:03,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:09,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:17,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:21,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:25,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:32,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:38,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:57,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:58,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,2:59,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,3:06,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,3:08,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,3:56,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,4:03,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,4:03,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.04-19.50.02,4:08,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:00,,1,,,in-package,empty,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:11,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:25,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:33,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:43,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,0:57,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:10,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:18,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:24,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:36,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:47,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:48,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,1:55,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:02,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:07,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:15,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:17,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:22,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:27,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:32,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:42,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:50,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:52,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:56,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,2:58,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,3:18,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,3:22,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,3:23,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.03-19.38.08,3:29,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:00,,1,,,in-package,empty,clean,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:06,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:18,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:24,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:27,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:41,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,0:50,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:01,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:05,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:11,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:13,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:18,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:31,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:34,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:40,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:41,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:46,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,1:52,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:00,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:08,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:15,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:18,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:25,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:34,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:49,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:53,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,2:53,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,3:01,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,3:02,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,3:53,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,3:59,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,4:00,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.04.04-18.33.59,4:05,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:00,,1,,,in-package,empty,clean,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:04,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:07,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:20,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:26,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:33,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:48,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,0:55,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:03,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:05,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:07,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:22,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:24,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:35,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:36,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,1:42,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:05,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:12,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:26,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:31,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:41,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:50,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,2:59,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:09,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:14,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:14,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:19,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:23,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,3:54,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,4:02,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,4:03,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.08-17.46.28,4:17,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:00,,1,,,in-package,empty,clean,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:08,,,,,plain,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:24,,2,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:29,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:31,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:42,,,,,peanut-butter,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,0:54,,3,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:01,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:09,,4,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:14,,,,,,,dirty,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:19,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:30,,,,,pb+jelly,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:43,,5,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,1:47,,,,,,,clean,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,2:16,,6,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,2:17,,,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,2:23,,,,,rolled,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,2:34,,7,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,2:54,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:03,,,,,rolled+toothpicks,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:08,,8,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:12,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:20,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:32,,9,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:49,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:53,,10,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,3:54,,,,,ends-cut,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:00,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:01,,11,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:21,,,,,sliced,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:23,,12,,,,,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:25,,,,,,with-food,,,,,,,,,
pinwheels,pinwheels_2023.03.02-22.56.36,4:28,,,,,,with-food,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:00,,1,,,in-package,empty,clean,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:11,,,,,plain,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:12,,2,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:15,,,,,,,dirty,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:17,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:29,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:35,,3,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:38,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,0:55,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:04,,4,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:27,,,,,nutella+banana+cinnamon,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:33,,5,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:33,,,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:34,,,,,folded,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:37,,6,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:42,,,,,cut,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:44,,7,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:45,,,,,,with-food,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.53.43,1:46,,,,,,with-food,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:00,,1,,,in-package,empty,clean,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:09,,,,,plain,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:12,,2,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:19,,,,,,,dirty,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:24,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:43,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,0:59,,3,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:03,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:14,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:22,,4,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:27,,,,,nutella+banana+cinnamon,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:35,,5,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:37,,,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:38,,,,,folded,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:41,,6,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:46,,,,,cut,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:51,,7,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:53,,,,,,with-food,,,,,,,,,
quesadilla,quesadilla_2023.06.16-18.57.48,1:56,,,,,,with-food,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:00,,1,,,in-package,empty,clean,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:06,,,,,plain,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:11,,2,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:18,,,,,,,dirty,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:20,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:34,,,,,nutella,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,0:55,,3,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:01,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:07,,,,,nutella+banana,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:17,,4,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:23,,,,,nutella+banana+cinnamon,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:33,,5,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:35,,,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:37,,,,,folded,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:40,,6,,,,,,,,,,,,,
quesadilla,quesadilla_2023.06.16-19.00.58,1:44,,,,,cut,,,,,,,,,,
